Epoch,Val Accuracy
1,0.136
2,0.687
3,0.6991666666666667
4,0.7861666666666667
5,0.8201666666666667
6,0.8311666666666667
7,0.8315
8,0.8593333333333333
9,0.8695
10,0.8853333333333333
11,0.8918333333333334
12,0.8901666666666667
13,0.8915
14,0.8996666666666666
15,0.9011666666666667
16,0.9061666666666667
17,0.9083333333333333
18,0.9135
19,0.9126666666666666
20,0.9128333333333334
21,0.9131666666666667
22,0.916
23,0.9165
24,0.918
25,0.9185
26,0.9196666666666666
27,0.919
28,0.9241666666666667
29,0.9233333333333333
30,0.9245
31,0.9256666666666666
32,0.926
33,0.9253333333333333
34,0.9248333333333333
35,0.9276666666666666
36,0.9286666666666666
37,0.933
38,0.9361666666666667
39,0.9358333333333333
40,0.9355
41,0.9381666666666667
42,0.938
43,0.9403333333333334
44,0.9395
45,0.9441666666666667
46,0.9448333333333333
47,0.9455
48,0.9446666666666667
49,0.9475
50,0.9463333333333334
51,0.9458333333333333
52,0.9463333333333334
53,0.9493333333333334
54,0.9488333333333333
55,0.9515
56,0.9541666666666667
57,0.9558333333333333
58,0.9541666666666667
59,0.9535
60,0.9548333333333333
61,0.9526666666666667
62,0.954
63,0.9553333333333334
64,0.956
65,0.9586666666666667
66,0.958
67,0.9573333333333334
68,0.9568333333333333
69,0.9568333333333333
70,0.9591666666666666
71,0.9595
72,0.9616666666666667
73,0.9613333333333334
74,0.962
75,0.9615
76,0.9621666666666666
77,0.9621666666666666
78,0.9625
79,0.9628333333333333
80,0.963
81,0.9625
82,0.9635
83,0.9623333333333334
84,0.9636666666666667
85,0.9641666666666666
86,0.964
87,0.9643333333333334
88,0.9636666666666667
89,0.9636666666666667
90,0.9626666666666667
91,0.9643333333333334
92,0.9633333333333334
93,0.9643333333333334
94,0.9651666666666666
95,0.9641666666666666
96,0.963
97,0.9653333333333334
98,0.966
99,0.966
100,0.9658333333333333
101,0.9651666666666666
102,0.9651666666666666
103,0.9653333333333334
104,0.9648333333333333
105,0.9651666666666666
106,0.9645
107,0.9646666666666667
108,0.9656666666666667
109,0.9651666666666666
110,0.965
111,0.9671666666666666
112,0.9668333333333333
113,0.9675
114,0.967
115,0.9668333333333333
116,0.9696666666666667
117,0.9691666666666666
118,0.9685
119,0.9696666666666667
120,0.9705
121,0.9708333333333333
122,0.97
123,0.9706666666666667
124,0.9711666666666666
125,0.9706666666666667
126,0.9721666666666666
127,0.9716666666666667
128,0.9731666666666666
129,0.9733333333333334
130,0.974
131,0.9735
132,0.9728333333333333
133,0.9726666666666667
134,0.9745
135,0.9743333333333334
136,0.9746666666666667
137,0.975
138,0.9745
139,0.9745
140,0.9743333333333334
141,0.974
142,0.9743333333333334
143,0.9743333333333334
144,0.974
145,0.9748333333333333
146,0.974
147,0.9748333333333333
148,0.9743333333333334
149,0.9753333333333334
150,0.9743333333333334
151,0.9748333333333333
152,0.9748333333333333
153,0.9746666666666667
154,0.9746666666666667
155,0.9741666666666666
156,0.9741666666666666
157,0.9735
158,0.974
159,0.9738333333333333
160,0.974
161,0.9743333333333334
162,0.975
163,0.9748333333333333
164,0.9745
165,0.9755
166,0.9755
167,0.9763333333333334
168,0.9766666666666667
169,0.9771666666666666
170,0.977
171,0.9768333333333333
172,0.9766666666666667
173,0.9768333333333333
174,0.977
175,0.978
176,0.978
177,0.978
178,0.9786666666666667
179,0.9786666666666667
180,0.9793333333333333
181,0.9791666666666666
182,0.9773333333333334
183,0.9776666666666667
184,0.9781666666666666
185,0.9783333333333334
186,0.9775
187,0.9773333333333334
188,0.977
189,0.9771666666666666
190,0.9773333333333334
191,0.9765
192,0.978
193,0.9776666666666667
194,0.9765
195,0.9776666666666667
196,0.9738333333333333
197,0.9756666666666667
198,0.9751666666666666
199,0.9745
200,0.976
201,0.969
202,0.9703333333333334
203,0.8978333333333334
204,0.9411666666666667
205,0.5601666666666667
206,0.254
207,0.4485
208,0.49
209,0.5058333333333334
210,0.4236666666666667
211,0.3993333333333333
212,0.071
213,0.30216666666666664
214,0.0535
215,0.5721666666666667
