seed,name,N,degree,loss,time,r2,rmse,best_degree,num_params,max_degree
42,Growing TT,120,1,0.05120144837319873,0.005004167556762695,0.999999999866813,1.9561904684179392e-07,3,9408,8
42,Growing TT,120,2,0.05600864072366574,0.0191192626953125,0.999999999866813,1.9561904684179392e-07,3,9408,8
42,Growing TT,120,3,1.9958943723078604e-07,0.03182077407836914,0.999999999866813,1.9561904684179392e-07,3,9408,8
42,Growing TT,120,4,4.6846702475379886e-05,0.04462599754333496,0.999999999866813,1.9561904684179392e-07,3,9408,8
42,Growing TT,120,5,4.472267527249597e-05,0.05749392509460449,0.999999999866813,1.9561904684179392e-07,3,9408,8
42,Growing TT,120,6,4.4454087871117844e-05,0.07169294357299805,0.999999999866813,1.9561904684179392e-07,3,9408,8
42,Growing TT,120,7,4.4444754707019356e-05,0.08458828926086426,0.999999999866813,1.9561904684179392e-07,3,9408,8
42,Growing TT,120,8,4.444420109329562e-05,0.09221673011779785,0.999999999866813,1.9561904684179392e-07,3,9408,8
42,Poly.Reg.,120,1,0.051201448373198614,0.0009136199951171875,1.0,4.711299460771189e-16,3,120,8
42,Poly.Reg.,120,2,0.05600864072407198,0.002710580825805664,1.0,4.711299460771189e-16,3,120,8
42,Poly.Reg.,120,3,7.566612227560528e-16,0.005421876907348633,1.0,4.711299460771189e-16,3,120,8
42,Poly.Reg.,120,4,0.03191204151494811,0.00848841667175293,1.0,4.711299460771189e-16,3,120,8
42,Poly.Reg.,120,5,0.03211584651404858,0.012645483016967773,1.0,4.711299460771189e-16,3,120,8
42,Poly.Reg.,120,6,0.036312088577356454,0.027279376983642578,1.0,4.711299460771189e-16,3,120,8
42,Poly.Reg.,120,7,0.03649440257794819,0.03484773635864258,1.0,4.711299460771189e-16,3,120,8
42,Poly.Reg.,120,8,0.03891883916880741,0.04525303840637207,1.0,4.711299460771189e-16,3,120,8
42,CPD,120,2,0.05600864072407006,0.028081893920898438,0.99999999990098,1.6867152851718558e-07,3,2400,8
42,CPD,120,3,1.7274594694740158e-07,0.08579540252685547,0.99999999990098,1.6867152851718558e-07,3,2400,8
42,CPD,120,4,0.002726231617817632,0.17508554458618164,0.99999999990098,1.6867152851718558e-07,3,2400,8
42,CPD,120,5,0.020040319303543316,0.3710498809814453,0.99999999990098,1.6867152851718558e-07,3,2400,8
42,CPD,120,6,0.062463231254013075,1.8590850830078125,0.99999999990098,1.6867152851718558e-07,3,2400,8
42,CPD,120,7,0.07006462892999964,2.1231985092163086,0.99999999990098,1.6867152851718558e-07,3,2400,8
42,CPD,120,8,0.1197739630252433,2.4886550903320312,0.99999999990098,1.6867152851718558e-07,3,2400,8
42,TT,120,2,0.05600864072405741,0.023378610610961914,0.9999999999999881,1.8448424938137838e-09,3,4992,8
42,TT,120,3,3.3137239273055703e-09,0.1284654140472412,0.9999999999999881,1.8448424938137838e-09,3,4992,8
42,TT,120,4,0.0023817513885723606,0.32157444953918457,0.9999999999999881,1.8448424938137838e-09,3,4992,8
42,TT,120,5,0.011737706492796403,0.7103285789489746,0.9999999999999881,1.8448424938137838e-09,3,4992,8
42,TT,120,6,0.025734935505290563,1.2863430976867676,0.9999999999999881,1.8448424938137838e-09,3,4992,8
42,TT,120,7,0.02498073889035857,2.009218692779541,0.9999999999999881,1.8448424938137838e-09,3,4992,8
