Epoch,Val RMSE,Val Accuracy
1,1.018997578319564,0.6056666374206543
2,1.4494610602556952,0.8166666626930237
3,2.0576824444809114,0.8806666731834412
4,2.3775421175728506,0.9081666469573975
5,2.6804062136445177,0.8989999890327454
6,2.802012229326613,0.9139999747276306
7,3.1011846216013645,0.9279999732971191
8,3.222266207143241,0.9286666512489319
9,3.901690762014823,0.9428333044052124
10,2.842433303378283,0.9411666393280029
11,3.696333968634471,0.9438333511352539
12,4.422971722877231,0.9466666579246521
13,5.04614542737455,0.9480000138282776
14,5.345166672063831,0.9474999904632568
15,5.8763219007436405,0.9505000114440918
16,5.460676681975206,0.9528332948684692
17,6.452136507142335,0.9539999961853027
18,4.859569977926405,0.9580000042915344
19,5.779560212031312,0.9583333134651184
20,7.075021500683034,0.9588333368301392
21,7.912257073395732,0.9589999914169312
22,9.38069191974731,0.9584999680519104
23,10.53998772497541,0.9589999914169312
24,9.377041763076816,0.9608333110809326
25,11.61816436988465,0.9596666693687439
26,8.915046861490689,0.9606666564941406
27,10.347807295902134,0.9611666798591614
28,12.90198542794727,0.9596666693687439
29,15.303740179792118,0.9598333239555359
30,19.5130644813893,0.9595000147819519
31,23.09523253928773,0.9591666460037231
32,21.22361525687321,0.9584999680519104
33,25.427723748529353,0.9580000042915344
34,21.2352264443149,0.9573333263397217
35,23.543394323943186,0.9576666355133057
36,27.300077359819767,0.9576666355133057
37,31.40051080128827,0.9573333263397217
38,37.183007089744606,0.9513333439826965
