Epoch,Val Accuracy
1,0.09216666666666666
2,0.6236666666666667
3,0.64
4,0.819
5,0.8186666666666667
6,0.8286666666666667
7,0.8545
8,0.8513333333333334
9,0.9123333333333333
10,0.9136666666666666
11,0.9133333333333333
12,0.922
13,0.9215
14,0.9253333333333333
15,0.929
16,0.9301666666666667
17,0.9385
18,0.9403333333333334
19,0.9401666666666667
20,0.9433333333333334
21,0.9431666666666667
22,0.944
23,0.9476666666666667
24,0.948
25,0.9513333333333334
26,0.9516666666666667
27,0.9521666666666667
28,0.9521666666666667
29,0.9528333333333333
30,0.9538333333333333
31,0.9555
32,0.9556666666666667
33,0.9598333333333333
34,0.9603333333333334
35,0.9603333333333334
36,0.9618333333333333
37,0.9625
38,0.963
39,0.9638333333333333
40,0.964
41,0.9671666666666666
42,0.9671666666666666
43,0.967
44,0.9681666666666666
45,0.9681666666666666
46,0.9686666666666667
47,0.9696666666666667
48,0.9695
49,0.9708333333333333
50,0.9706666666666667
51,0.9706666666666667
52,0.9716666666666667
53,0.9713333333333334
54,0.9716666666666667
55,0.9721666666666666
56,0.9723333333333334
57,0.9735
58,0.9735
59,0.9735
60,0.9725
61,0.9723333333333334
62,0.9733333333333334
63,0.9731666666666666
64,0.9731666666666666
65,0.9743333333333334
66,0.9743333333333334
67,0.9741666666666666
68,0.9741666666666666
69,0.9741666666666666
70,0.974
71,0.975
72,0.975
73,0.9755
74,0.9753333333333334
75,0.9755
76,0.9746666666666667
77,0.9741666666666666
78,0.9746666666666667
79,0.9748333333333333
80,0.9746666666666667
81,0.976
82,0.9763333333333334
