model,d,data_degree,seed,r2,rmse,degree,time,params,rank
tt,1,2,50,1.0,3.549613489616246e-11,5,0.13869476318359375,4656,24
poly,1,2,50,1.0,2.088687010669156e-15,6,0.015961885452270508,7,-1
tt,1,2,51,0.9999845417681241,7.048328859884277e-08,2,0.09054923057556152,40,4
tt,1,2,51,0.9999999912398474,1.6778845943220456e-09,2,0.08995771408081055,144,8
tt,1,2,51,0.9999999999730701,9.303005006554134e-11,2,0.09920620918273926,1200,24
poly,1,2,51,1.0,1.7997922667504513e-14,3,0.011370420455932617,4,-1
tt,1,3,42,0.9999999999999983,9.16170029158086e-09,9,0.17035150527954102,264,4
tt,1,3,42,1.0,1.1400330742298193e-10,3,0.10790324211120605,272,8
tt,1,3,42,1.0,8.690838365790883e-12,3,0.11278939247131348,2352,24
poly,1,3,42,1.0,9.680737344864605e-16,2,0.00993800163269043,3,-1
tt,1,3,43,0.9999998945380782,9.07250930483869e-05,5,0.1240842342376709,136,4
tt,1,3,43,0.9999985808782649,0.00033280466686857216,8,0.16100478172302246,912,8
tt,1,3,43,1.0,7.592592697651388e-13,4,0.12583446502685547,3504,24
poly,1,3,43,1.0,1.0821990344273517e-16,6,0.01590561866760254,7,-1
tt,1,3,44,0.9999999999983514,2.38174563128823e-05,4,0.11365580558776855,104,4
tt,1,3,44,0.9999999999999999,1.495298609780411e-07,4,0.11348176002502441,400,8
tt,1,3,44,1.0,1.562325525189465e-10,3,0.11393141746520996,2352,24
poly,1,3,44,1.0,1.526220325161673e-14,7,0.017517805099487305,8,-1
tt,1,3,45,0.9999999999998808,2.3679482087530982e-07,3,0.10642695426940918,72,4
tt,1,3,45,0.9999999907195664,6.606210200019394e-05,3,0.10196375846862793,272,8
tt,1,3,45,1.0,3.4905627017148787e-12,3,0.11278581619262695,2352,24
poly,1,3,45,1.0,3.329373561725933e-16,8,0.019158363342285156,9,-1
tt,1,3,46,0.9999493066157265,5.457020231118613e-05,4,0.11480998992919922,104,4
tt,1,3,46,0.9999493099401718,5.456841293935193e-05,4,0.11295700073242188,400,8
tt,1,3,46,0.9999670293542792,4.400921757712586e-05,12,0.20263314247131348,12720,24
poly,1,3,46,1.0,1.016845989170083e-14,5,0.014198064804077148,6,-1
tt,1,3,47,0.9999999999938322,3.216257551047286e-07,4,0.11337423324584961,104,4
tt,1,3,47,0.9999999999999264,3.5131086575640236e-08,4,0.11735749244689941,400,8
tt,1,3,47,0.9999999999999998,1.7186006379853297e-09,8,0.18321895599365234,8112,24
poly,1,3,47,1.0,4.3602233676528987e-16,3,0.011448144912719727,4,-1
tt,1,3,48,0.9999999999993409,4.267913352188204e-08,4,0.11399364471435547,104,4
tt,1,3,48,0.9999999999999962,3.2137783988126306e-09,7,0.14939498901367188,784,8
tt,1,3,48,1.0,2.8535248778998453e-12,3,0.11421632766723633,2352,24
poly,1,3,48,1.0,6.852873540635224e-17,11,0.02242875099182129,12,-1
tt,1,3,49,0.99999999977963,4.5519045594128675e-07,4,0.11348104476928711,104,4
tt,1,3,49,0.9999999999994084,2.3585028591838555e-08,4,0.11361217498779297,400,8
tt,1,3,49,1.0,7.555875602533844e-13,4,0.12854528427124023,3504,24
poly,1,3,49,1.0,1.48157978324333e-17,6,0.015860557556152344,7,-1
tt,1,3,50,0.9999999999999994,3.412365694531446e-07,8,0.1593303680419922,232,4
tt,1,3,50,0.9999999999999978,7.029558672055318e-07,3,0.10614252090454102,272,8
tt,1,3,50,1.0,6.809873723772588e-10,3,0.11262917518615723,2352,24
poly,1,3,50,1.0,1.0078692427269484e-14,3,0.011281728744506836,4,-1
tt,1,3,51,0.9997205727416519,2.1689448285313996e-07,3,0.10070943832397461,72,4
tt,1,3,51,0.9999489457297155,9.27107633246803e-08,2,0.09170317649841309,144,8
tt,1,3,51,0.9999498969496395,9.184303014838992e-08,5,0.13846802711486816,4656,24
poly,1,3,51,1.0,6.485040676753121e-15,4,0.012712478637695312,5,-1
tt,1,4,42,0.9999999999994926,3.945215856539004e-07,5,0.12504029273986816,136,4
tt,1,4,42,1.0,3.960482423500042e-10,7,0.1483774185180664,784,8
tt,1,4,42,1.0,5.31031500772239e-10,14,0.20338225364685059,15024,24
poly,1,4,42,1.0,1.291986716436226e-15,7,0.017505645751953125,8,-1
tt,1,4,43,0.9999999975010943,5.260132663950697e-05,3,0.10619568824768066,72,4
tt,1,4,43,0.9999999998071414,1.461306475347219e-05,3,0.10232138633728027,272,8
tt,1,4,43,0.9999999999999795,1.5094202198557604e-07,7,0.1662769317626953,6960,24
poly,1,4,43,1.0,6.528262433800066e-16,14,0.02260613441467285,15,-1
tt,1,4,44,0.9999587072640714,2.56293815754551e-08,2,0.09092831611633301,40,4
tt,1,4,44,0.9999893817251371,1.2996555903010927e-08,6,0.13659191131591797,656,8
tt,1,4,44,1.0,2.3116556159354284e-16,5,0.13940000534057617,4656,24
poly,1,4,44,1.0,7.235862923458041e-21,4,0.012814760208129883,5,-1
tt,1,4,45,0.9999999999995004,3.6972606224735514e-07,3,0.10100412368774414,72,4
tt,1,4,45,0.9999999999999986,2.0077269694235825e-08,3,0.10277962684631348,272,8
tt,1,4,45,1.0,7.785455197661788e-12,3,0.11286473274230957,2352,24
poly,1,4,45,1.0,3.265877233824331e-16,5,0.014239788055419922,6,-1
tt,1,4,46,0.9999990557860695,0.004935247092629154,8,0.3829970359802246,232,4
tt,1,4,46,0.9999990726657338,0.0048909345761066906,6,0.13749003410339355,656,8
tt,1,4,46,0.9999999999999999,5.833723820633643e-08,5,0.13997578620910645,4656,24
poly,1,4,46,1.0,1.0113696674044424e-14,4,0.01276540756225586,5,-1
tt,1,4,47,0.9999984015601195,0.022100572898229493,4,0.11366653442382812,104,4
tt,1,4,47,0.9999984513163036,0.021753880659933583,4,0.11432075500488281,400,8
tt,1,4,47,1.0,1.2766994450795845e-07,10,0.20378589630126953,10416,24
poly,1,4,47,1.0,4.533017632791308e-15,4,0.01284170150756836,5,-1
tt,1,4,48,0.9999988884252179,8.031459321294248e-05,4,0.11654520034790039,104,4
tt,1,4,48,0.9999988204239569,8.27347755481078e-05,4,0.11432480812072754,400,8
tt,1,4,48,1.0,4.8196024373153606e-11,12,0.20280122756958008,12720,24
poly,1,4,48,1.0,3.2454446329977335e-17,6,0.015888214111328125,7,-1
tt,1,4,49,0.99999999778708,2.6044468215297326e-07,4,0.1141364574432373,104,4
tt,1,4,49,0.9999999147897359,1.6161385867564952e-06,4,0.11400651931762695,400,8
tt,1,4,49,1.0,7.420034440926416e-12,3,0.11217474937438965,2352,24
poly,1,4,49,1.0,6.0442107534892746e-18,11,0.022542476654052734,12,-1
tt,1,4,50,0.9999999999999851,6.308939343438665e-07,3,0.10153031349182129,72,4
tt,1,4,50,0.9999999999998231,2.1728469778519553e-06,3,0.1019132137298584,272,8
tt,1,4,50,1.0,1.6753461603625546e-09,7,0.16974449157714844,6960,24
poly,1,4,50,1.0,2.807121583090531e-15,6,0.01584625244140625,7,-1
tt,1,4,51,0.9999982681763812,0.0008106230316761489,4,0.11481714248657227,104,4
tt,1,4,51,0.9999989588758144,0.0006285189516236096,7,0.14941811561584473,784,8
tt,1,4,51,1.0,2.0312260466458673e-10,5,0.13977861404418945,4656,24
poly,1,4,51,1.0,2.9560925929458497e-16,4,0.01273488998413086,5,-1
tt,1,5,42,0.999991840073991,0.05395076257533351,8,0.1617131233215332,232,4
tt,1,5,42,0.9999909737047867,0.05674260160574527,10,0.18619680404663086,1168,8
tt,1,5,42,1.0,1.022719503749735e-08,8,0.17957711219787598,8112,24
poly,1,5,42,1.0,5.75310672596624e-15,7,0.0175628662109375,8,-1
tt,1,5,43,0.9999999999527142,1.1515265696238522e-05,4,0.11743927001953125,104,4
tt,1,5,43,0.9999999999936148,4.231505882400272e-06,4,0.1147923469543457,400,8
tt,1,5,43,0.9999999999998492,6.501631981779363e-07,13,0.20196318626403809,13872,24
poly,1,5,43,1.0,7.582750109907124e-16,4,0.012595415115356445,5,-1
tt,1,5,44,0.9999999999999986,3.4796026426612034e-07,4,0.11432695388793945,104,4
tt,1,5,44,0.9999999999999998,1.4683166332492123e-07,4,0.11522579193115234,400,8
tt,1,5,44,1.0,2.06656912037083e-09,3,0.11499834060668945,2352,24
poly,1,5,44,1.0,8.956256600080938e-15,7,0.017603635787963867,8,-1
tt,1,5,45,0.9997213331665787,0.001420443963560733,6,0.13648200035095215,168,4
tt,1,5,45,0.9997753802731179,0.001275279597270045,12,0.18292665481567383,1424,8
tt,1,5,45,1.0,1.1192177459066657e-10,7,0.1694793701171875,6960,24
poly,1,5,45,1.0,1.969277160792289e-16,5,0.014169692993164062,6,-1
tt,1,5,46,0.9999990428264753,0.002998780364020665,4,0.1127169132232666,104,4
tt,1,5,46,0.999999050044078,0.002987452761972964,4,0.1126546859741211,400,8
tt,1,5,46,1.0,4.01911249210418e-10,5,0.1390395164489746,4656,24
poly,1,5,46,1.0,1.73439837221142e-15,11,0.022497177124023438,12,-1
tt,1,5,47,0.9999740860635856,0.00012406271964565346,5,0.1234745979309082,136,4
tt,1,5,47,0.9999775894699049,0.00011537206544233596,7,0.14812541007995605,784,8
tt,1,5,47,0.9999999999988932,2.5639129968401936e-08,7,0.16507863998413086,6960,24
poly,1,5,47,1.0,3.2994363900596666e-16,7,0.017417192459106445,8,-1
tt,1,5,48,0.999954577945586,0.006780076330557503,9,0.17541909217834473,264,4
tt,1,5,48,0.9999522413775717,0.006952277397779002,14,0.18629121780395508,1680,8
tt,1,5,48,1.0,7.99210004769511e-10,5,0.13924813270568848,4656,24
poly,1,5,48,1.0,9.684492689602087e-16,11,0.022549152374267578,12,-1
tt,1,5,49,0.999999982723666,7.129230579745225e-06,4,0.11391830444335938,104,4
tt,1,5,49,0.999999982552709,7.164417189799319e-06,4,0.11311054229736328,400,8
tt,1,5,49,1.0,9.542653702473879e-11,5,0.1384291648864746,4656,24
poly,1,5,49,1.0,2.9842084482901956e-17,6,0.01570916175842285,7,-1
tt,1,5,50,0.9999998645328783,0.0002244189278238602,4,0.11270880699157715,104,4
tt,1,5,50,0.9999998202466307,0.00025851220443400333,4,0.11685442924499512,400,8
tt,1,5,50,0.9999999999979428,8.745529859743818e-07,14,0.20170116424560547,15024,24
poly,1,5,50,1.0,1.2229800800908567e-15,8,0.019043684005737305,9,-1
tt,1,5,51,0.9994365993721952,0.003733237840166805,6,0.1344144344329834,168,4
tt,1,5,51,0.9995988055387011,0.0031503184760311325,5,0.1255810260772705,528,8
tt,1,5,51,0.9999999205322093,4.43376392388981e-05,8,0.17788314819335938,8112,24
poly,1,5,51,1.0,2.1654656903593197e-14,11,0.022307395935058594,12,-1
tt,1,6,42,0.9998331617189649,0.009196297159055884,3,0.1036381721496582,72,4
tt,1,6,42,0.9998989760943239,0.007156113501693218,6,0.13664889335632324,656,8
tt,1,6,42,0.9999999998488405,8.75352327653223e-06,6,0.15701079368591309,5808,24
poly,1,6,42,1.0,1.4057370193527075e-15,7,0.017664670944213867,8,-1
tt,1,6,43,0.9999621813863095,0.0006848584682163505,5,0.12481951713562012,136,4
tt,1,6,43,0.9999699608627279,0.0006103679983250184,6,0.13639068603515625,656,8
tt,1,6,43,0.9999999999964834,2.0883942086436607e-07,8,0.17895865440368652,8112,24
poly,1,6,43,1.0,3.456560601894493e-17,8,0.01891160011291504,9,-1
tt,1,6,44,0.9999775644756833,0.008273926377425326,8,0.15953707695007324,232,4
tt,1,6,44,0.99997580954169,0.008591432626288116,12,0.182783842086792,1424,8
tt,1,6,44,0.9999999999999954,1.1771672086559541e-07,5,0.13788771629333496,4656,24
poly,1,6,44,1.0,5.56973563985009e-16,9,0.020702838897705078,10,-1
tt,1,6,45,0.999976758526927,0.0019803398741182776,6,0.14109492301940918,168,4
tt,1,6,45,0.9999815893614342,0.0017625535992951045,8,0.15936851501464844,912,8
tt,1,6,45,0.9999999997590021,6.376971939196707e-06,5,0.14131689071655273,4656,24
poly,1,6,45,1.0,1.497783481814612e-16,10,0.02250194549560547,11,-1
tt,1,6,46,0.9999989443797068,0.0035769461385939073,3,0.10196328163146973,72,4
tt,1,6,46,0.9999989443405597,0.003577012462580773,3,0.1022787094116211,272,8
tt,1,6,46,0.999999999999983,4.543974381508519e-07,7,0.16553783416748047,6960,24
poly,1,6,46,1.0,5.193527902237248e-15,8,0.019091367721557617,9,-1
tt,1,6,47,0.9999999976578692,1.5161067347582072e-06,5,0.1244957447052002,136,4
tt,1,6,47,0.9999999986349177,1.1574536681288837e-06,3,0.10145902633666992,272,8
tt,1,6,47,0.9999999999012229,3.113524729021342e-07,5,0.14306855201721191,4656,24
poly,1,6,47,1.0,2.1823720386936455e-16,9,0.020689725875854492,10,-1
tt,1,6,48,0.9999404530110637,0.020427726786872772,11,0.18193340301513672,328,4
tt,1,6,48,0.9999441672067381,0.019780388432033495,12,0.18237590789794922,1424,8
tt,1,6,48,1.0,9.542114127720173e-09,8,0.1782393455505371,8112,24
poly,1,6,48,1.0,2.0149990975942555e-12,14,0.022629261016845703,15,-1
tt,1,6,49,0.9999490329592844,0.004233499723581451,4,0.11228775978088379,104,4
tt,1,6,49,0.9999602969128213,0.0037365170251498973,5,0.1257786750793457,528,8
tt,1,6,49,0.9999999995875992,1.2042442733160135e-05,6,0.15125799179077148,5808,24
poly,1,6,49,1.0,1.300408700243586e-16,8,0.019032001495361328,9,-1
tt,1,6,50,0.9999999999981525,3.5376795512386916e-05,4,0.11657285690307617,104,4
tt,1,6,50,0.9999999999919146,7.400670792701132e-05,4,0.11500692367553711,400,8
tt,1,6,50,0.9999999999998281,1.0791200059466927e-05,7,0.16528916358947754,6960,24
poly,1,6,50,1.0,1.582533567739797e-14,7,0.01760125160217285,8,-1
tt,1,6,51,0.9998276581934391,0.022437737233936998,3,0.10237503051757812,72,4
tt,1,6,51,0.9998288695492132,0.022358743017385118,3,0.10140252113342285,272,8
tt,1,6,51,0.9999999994598276,3.972372056545378e-05,14,0.2031848430633545,15024,24
poly,1,6,51,1.0,2.2343151621309455e-14,8,0.019004344940185547,9,-1
tt,1,7,42,0.9999917042301812,0.08214736792332125,4,0.11282944679260254,104,4
tt,1,7,42,0.9999929691411645,0.07562571528540665,10,0.18202757835388184,1168,8
tt,1,7,42,0.9999999999943747,6.764512602124195e-05,5,0.14282894134521484,4656,24
poly,1,7,42,1.0,9.539714328527705e-15,11,0.02255988121032715,12,-1
tt,1,7,43,0.9999669678578202,0.0023877506829823934,4,0.11238908767700195,104,4
tt,1,7,43,0.9999730523785936,0.0021566557467665483,12,0.18358421325683594,1424,8
tt,1,7,43,0.9999999998394594,5.263965533701761e-06,5,0.13891196250915527,4656,24
poly,1,7,43,1.0,2.482285887418036e-16,10,0.022359132766723633,11,-1
tt,1,7,44,0.9999995340580492,0.0030503926912947453,4,0.11295223236083984,104,4
tt,1,7,44,0.9999995172104679,0.003105051212068102,4,0.11302423477172852,400,8
tt,1,7,44,0.9999999999999999,5.0596672053216044e-08,13,0.20270419120788574,13872,24
poly,1,7,44,1.0,2.0984331232954955e-15,7,0.017379283905029297,8,-1
tt,1,7,45,0.9999640456853671,0.00823207377732351,12,0.190673828125,360,4
tt,1,7,45,0.9999622357627529,0.008436729120861693,13,0.1842479705810547,1552,8
tt,1,7,45,0.9999999994416058,3.244174435385786e-05,5,0.14017033576965332,4656,24
poly,1,7,45,1.0,2.037514857709529e-15,15,0.022685766220092773,16,-1
tt,1,7,46,0.9999994026333092,0.0062622107991436166,4,0.11293220520019531,104,4
tt,1,7,46,0.9999994129401897,0.006207952087690322,4,0.11246466636657715,400,8
tt,1,7,46,0.999999999882176,8.794758364363036e-05,6,0.15160441398620605,5808,24
poly,1,7,46,1.0,3.5486816281355805e-15,8,0.018896818161010742,9,-1
tt,1,7,47,0.9992400191963123,0.09428380792512575,2,0.08899354934692383,40,4
tt,1,7,47,0.9992397880950622,0.09429814213566041,2,0.0951089859008789,144,8
tt,1,7,47,0.9999999807349622,0.00047470164399379406,9,0.19060230255126953,9264,24
poly,1,7,47,1.0,2.2388329298917624e-15,9,0.020685195922851562,10,-1
tt,1,7,48,0.9999971311051169,0.0001775457685372543,6,0.13555335998535156,168,4
tt,1,7,48,0.9999956333166612,0.00021904273716413507,10,0.18301010131835938,1168,8
tt,1,7,48,0.9999999996155227,2.055362151331041e-06,6,0.15219736099243164,5808,24
poly,1,7,48,1.0,4.067149186901858e-17,9,0.02061629295349121,10,-1
tt,1,7,49,0.9999966705926798,0.04585906324150235,5,0.12537932395935059,136,4
tt,1,7,49,0.9999961382784144,0.0493892230228371,5,0.1250309944152832,528,8
tt,1,7,49,0.9999999999952748,5.463299321713614e-05,7,0.17061638832092285,6960,24
poly,1,7,49,1.0,7.384510555855003e-15,10,0.022527456283569336,11,-1
tt,1,7,50,0.9999999970868303,0.00018356195502376913,4,0.11300230026245117,104,4
tt,1,7,50,0.9999999969812577,0.00018685847612958116,4,0.11270260810852051,400,8
tt,1,7,50,0.9999999999994024,2.629185508118432e-06,14,0.2025766372680664,15024,24
poly,1,7,50,1.0,1.8707175603994084e-15,7,0.01736903190612793,8,-1
tt,1,7,51,0.9991852411672051,0.011170528710810023,3,0.1005251407623291,72,4
tt,1,7,51,0.999185335618298,0.011169881219073228,3,0.10311341285705566,272,8
tt,1,7,51,0.9999999157417748,0.0001135966028740826,5,0.13853096961975098,4656,24
poly,1,7,51,1.0,5.94907183112084e-15,10,0.022487878799438477,11,-1
tt,1,10,42,0.9999899401595159,0.03548551180608445,4,0.1172175407409668,104,4
tt,1,10,42,0.9999910670456662,0.03343898474660327,8,0.15965580940246582,912,8
tt,1,10,42,0.9999999999717191,5.949798407255075e-05,5,0.13927912712097168,4656,24
poly,1,10,42,1.0,4.0480869042247695e-15,11,0.022377729415893555,12,-1
tt,1,10,43,0.9999149285675197,0.19153380976127415,7,0.14879655838012695,200,4
tt,1,10,43,0.9998315314971365,0.2695336127801209,14,0.1833794116973877,1680,8
tt,1,10,43,0.9999999998734188,0.00023363513459084094,8,0.1786649227142334,8112,24
poly,1,10,43,1.0,7.180051868889097e-15,11,0.022546052932739258,12,-1
tt,1,10,44,0.9991494956055129,0.4670426457395442,10,0.18001008033752441,296,4
tt,1,10,44,0.9985541842722112,0.6089403174469727,5,0.12851595878601074,528,8
tt,1,10,44,0.9999999850017135,0.0019612776485969847,7,0.16486740112304688,6960,24
poly,1,10,44,1.0,8.449879754545594e-15,13,0.022446632385253906,14,-1
tt,1,10,45,0.9999615932225272,0.002007844341321644,10,0.18097925186157227,296,4
tt,1,10,45,0.9999622882055875,0.00198959511162364,14,0.18519186973571777,1680,8
tt,1,10,45,0.9999997534034507,0.00016088649999989381,6,0.15425825119018555,5808,24
poly,1,10,45,1.0,5.930711223077875e-16,12,0.022551774978637695,13,-1
tt,1,10,46,0.9999328607678111,0.0502718869972567,4,0.11309480667114258,104,4
tt,1,10,46,0.9999409759650844,0.04713586153383285,8,0.16011762619018555,912,8
tt,1,10,46,0.9999997925783953,0.0027942418753488514,6,0.15622448921203613,5808,24
poly,1,10,46,1.0,5.172652865237855e-15,13,0.022562503814697266,14,-1
tt,1,10,47,0.9826820952219539,0.027811424758105066,3,0.1028437614440918,72,4
tt,1,10,47,0.982682096474121,0.02781142375265584,3,0.10192322731018066,272,8
tt,1,10,47,0.999934473610062,0.0017107387207658392,5,0.13915419578552246,4656,24
poly,1,10,47,1.0,8.036971879733559e-16,10,0.022382259368896484,11,-1
tt,1,10,48,0.9999358066074795,0.011672435026465564,8,0.15910577774047852,232,4
tt,1,10,48,0.9999432649314778,0.010973422302752226,14,0.1828136444091797,1680,8
tt,1,10,48,0.9999999999932605,3.782080801665179e-06,5,0.13763761520385742,4656,24
poly,1,10,48,1.0,3.4310840399151337e-15,12,0.0224153995513916,13,-1
tt,1,10,49,0.999988819377698,0.09903618147034352,6,0.13924455642700195,168,4
tt,1,10,49,0.9999922212366346,0.08260687224741266,7,0.14939570426940918,784,8
tt,1,10,49,0.9999999994615065,0.0006873075511447444,9,0.1907815933227539,9264,24
poly,1,10,49,1.0,8.17055357671725e-15,10,0.022359371185302734,11,-1
tt,1,10,50,0.999545955207678,1.5039000890598437,15,0.18159079551696777,432,4
tt,1,10,50,0.9995540878239269,1.490370690869945,15,0.18389463424682617,1696,8
tt,1,10,50,0.9999999205245077,0.01989693811216901,11,0.20383262634277344,11568,24
poly,1,10,50,1.0,8.136877793775536e-14,11,0.02250385284423828,12,-1
tt,1,10,51,0.9965552342635422,1.0274590933003558,4,0.11743283271789551,104,4
tt,1,10,51,0.9974429922988081,0.8852189691728654,6,0.1396942138671875,656,8
tt,1,10,51,0.9999999977903651,0.0008228960071827039,9,0.19231033325195312,9264,24
poly,1,10,51,1.0,4.1335636627313015e-14,13,0.02259540557861328,14,-1
tt,2,1,42,1.0,8.174213992403114e-11,1,0.07978534698486328,12,4
tt,2,1,42,1.0,2.3873108441180743e-11,2,0.09051251411437988,216,8
tt,2,1,42,1.0,1.3640108748344515e-11,1,0.09231948852539062,72,24
poly,2,1,42,1.0,5.102196573270515e-16,1,0.011462926864624023,3,-1
tt,2,1,43,0.9999999996523163,2.9977600464018124e-12,1,0.07772636413574219,12,4
tt,2,1,43,0.999999999816951,2.1751459098549875e-12,2,0.09125590324401855,216,8
tt,2,1,43,0.9999999999715307,8.578140072337925e-13,2,0.10543513298034668,1800,24
poly,2,1,43,1.0,2.3811631099687443e-17,1,0.011347055435180664,3,-1
tt,2,1,44,1.0,3.288011951567853e-15,1,0.08276581764221191,12,4
tt,2,1,44,1.0,1.4930098144767926e-15,1,0.07877659797668457,24,8
