Epoch,Val Accuracy
1,0.17483333333333334
2,0.7443333333333333
3,0.7856666666666666
4,0.9
5,0.9
6,0.8976666666666666
7,0.9151666666666667
8,0.921
9,0.946
10,0.946
11,0.9468333333333333
12,0.953
13,0.9526666666666667
14,0.9548333333333333
15,0.9561666666666667
16,0.9561666666666667
17,0.9611666666666666
18,0.9608333333333333
19,0.9618333333333333
20,0.966
21,0.9661666666666666
22,0.9673333333333334
23,0.9683333333333334
24,0.9688333333333333
25,0.9713333333333334
26,0.9706666666666667
27,0.9723333333333334
28,0.9721666666666666
29,0.9718333333333333
30,0.972
31,0.9733333333333334
32,0.9728333333333333
33,0.9726666666666667
34,0.9728333333333333
35,0.9726666666666667
36,0.9721666666666666
37,0.9723333333333334
38,0.9725
39,0.9733333333333334
40,0.973
41,0.9726666666666667
42,0.9726666666666667
43,0.9723333333333334
44,0.9741666666666666
45,0.9738333333333333
46,0.9743333333333334
47,0.9746666666666667
48,0.9738333333333333
49,0.9723333333333334
50,0.9725
51,0.9723333333333334
52,0.973
53,0.9728333333333333
54,0.9731666666666666
55,0.973
56,0.9728333333333333
57,0.9721666666666666
58,0.9721666666666666
59,0.9718333333333333
60,0.971
61,0.9708333333333333
62,0.9713333333333334
63,0.9718333333333333
64,0.9718333333333333
65,0.9711666666666666
66,0.9713333333333334
67,0.9708333333333333
