Epoch,Val Accuracy
1,0.8206
2,0.8396
3,0.8632
4,0.8846
5,0.8913
6,0.8956
7,0.9047
8,0.9055
9,0.9101
10,0.9149
11,0.9185
12,0.9185
13,0.9171
14,0.9212
15,0.9233
16,0.9242
17,0.9269
18,0.9299
19,0.9322
20,0.9326
21,0.9305
22,0.9343
23,0.9335
24,0.9357
25,0.9394
26,0.9354
27,0.9391
28,0.9344
29,0.9390
30,0.9420
31,0.9427
32,0.9420
33,0.9443
34,0.9415
35,0.9421
36,0.9423
37,0.9444
38,0.9459
39,0.9472
40,0.9470
41,0.9454
42,0.9456
43,0.9470
44,0.9467
45,0.9494
46,0.9468
47,0.9506
48,0.9506
49,0.9485
50,0.9510
51,0.9503
52,0.9521
53,0.9509
54,0.9525
55,0.9509
56,0.9511
57,0.9530
58,0.9537
59,0.9535
60,0.9509
61,0.9534
62,0.9520
63,0.9524
64,0.9544
65,0.9526
66,0.9543
67,0.9532
68,0.9550
69,0.9547
70,0.9518
71,0.9549
72,0.9549
73,0.9544
74,0.9527
75,0.9541
76,0.9538
77,0.9551
78,0.9555
79,0.9539
80,0.9545
81,0.9524
82,0.9533
83,0.9561
84,0.9542
85,0.9580
86,0.9549
87,0.9562
88,0.9551
89,0.9562
90,0.9556
91,0.9563
92,0.9578
93,0.9576
94,0.9565
95,0.9575
96,0.9551
97,0.9566
98,0.9572
99,0.9579
100,0.9575
