dataset,model_type,N,r,CB,test_accuracy,num_parameters,num_swipes,eps,eps_decay,kernel_size,kernel_stride,early_stopping,abs_err,rel_err,seed,validation_split,timestamp
FashionMNIST,tt_standard,3,2,2,83.09,1336,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T15:19:37.533098
FashionMNIST,tt_type1,4,2,2,86.47,4379,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T15:21:42.737642
FashionMNIST,tt_standard,4,2,2,51.48,1604,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T15:22:25.021734
FashionMNIST,tt_type1,5,2,2,84.69,6203,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T15:24:55.162631
FashionMNIST,tt_standard,5,2,2,84.28,1872,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T15:26:30.058922
FashionMNIST,tt_type1,3,2,2,85.68,2815,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T15:28:04.572849
FashionMNIST,tt_standard,3,2,2,83.5,1336,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T15:29:00.693809
FashionMNIST,tt_type1,4,2,2,86.42,4379,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T15:31:37.696981
FashionMNIST,tt_standard,4,2,2,26.99,1604,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T15:32:12.039198
FashionMNIST,tt_type1,5,2,2,86.55,6203,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T15:35:31.986415
FashionMNIST,tt_standard,5,2,2,13.4,1872,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T15:36:05.668189
FashionMNIST,tt_type1,3,2,2,85.78,2815,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T15:37:35.759643
FashionMNIST,tt_standard,3,2,2,63.54,1336,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T15:38:19.820914
FashionMNIST,tt_type1,4,2,2,85.64,4379,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T15:40:35.622757
FashionMNIST,tt_standard,4,2,2,64.21,1604,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T15:41:24.163179
FashionMNIST,tt_type1,5,2,2,86.25,6203,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T15:44:36.638137
FashionMNIST,tt_standard,5,2,2,61.28,1872,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T15:45:32.838173

