dataset,n_estimators,max_depth,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,learning_rate
appliances,50,3,82.1604872592924,0.21044082268025333,,,42,xgboost,0.1
appliances,50,3,82.1604872592924,0.21044082268025333,,,43,xgboost,0.1
appliances,50,3,82.1604872592924,0.21044082268025333,,,44,xgboost,0.1
appliances,50,3,82.1604872592924,0.21044082268025333,,,45,xgboost,0.1
appliances,50,3,82.1604872592924,0.21044082268025333,,,46,xgboost,0.1
appliances,50,6,73.63459033956524,0.3658055699466026,,,42,xgboost,0.1
appliances,50,6,73.63459033956524,0.3658055699466026,,,43,xgboost,0.1
appliances,50,6,73.63459033956524,0.3658055699466026,,,44,xgboost,0.1
appliances,50,6,73.63459033956524,0.3658055699466026,,,45,xgboost,0.1
appliances,50,6,73.63459033956524,0.3658055699466026,,,46,xgboost,0.1
appliances,50,9,68.64477255435771,0.4488451744128983,,,42,xgboost,0.1
appliances,50,9,68.64477255435771,0.4488451744128983,,,43,xgboost,0.1
appliances,50,9,68.64477255435771,0.4488451744128983,,,44,xgboost,0.1
appliances,50,9,68.64477255435771,0.4488451744128983,,,45,xgboost,0.1
appliances,50,9,68.64477255435771,0.4488451744128983,,,46,xgboost,0.1
appliances,100,3,79.45345205183602,0.261612705166159,,,42,xgboost,0.1
appliances,100,3,79.45345205183602,0.261612705166159,,,43,xgboost,0.1
appliances,100,3,79.45345205183602,0.261612705166159,,,44,xgboost,0.1
appliances,100,3,79.45345205183602,0.261612705166159,,,45,xgboost,0.1
appliances,100,3,79.45345205183602,0.261612705166159,,,46,xgboost,0.1
appliances,100,6,70.04130225676255,0.4261913407640928,,,42,xgboost,0.1
appliances,100,6,70.04130225676255,0.4261913407640928,,,43,xgboost,0.1
appliances,100,6,70.04130225676255,0.4261913407640928,,,44,xgboost,0.1
appliances,100,6,70.04130225676255,0.4261913407640928,,,45,xgboost,0.1
appliances,100,6,70.04130225676255,0.4261913407640928,,,46,xgboost,0.1
appliances,100,9,66.64095552013976,0.48055316501893797,,,42,xgboost,0.1
appliances,100,9,66.64095552013976,0.48055316501893797,,,43,xgboost,0.1
appliances,100,9,66.64095552013976,0.48055316501893797,,,44,xgboost,0.1
appliances,100,9,66.64095552013976,0.48055316501893797,,,45,xgboost,0.1
appliances,100,9,66.64095552013976,0.48055316501893797,,,46,xgboost,0.1
appliances,200,3,76.59213525252322,0.31383742396299674,,,42,xgboost,0.1
appliances,200,3,76.59213525252322,0.31383742396299674,,,43,xgboost,0.1
appliances,200,3,76.59213525252322,0.31383742396299674,,,44,xgboost,0.1
appliances,200,3,76.59213525252322,0.31383742396299674,,,45,xgboost,0.1
appliances,200,3,76.59213525252322,0.31383742396299674,,,46,xgboost,0.1
appliances,200,6,67.25667523206958,0.47091011047174036,,,42,xgboost,0.1
appliances,200,6,67.25667523206958,0.47091011047174036,,,43,xgboost,0.1
appliances,200,6,67.25667523206958,0.47091011047174036,,,44,xgboost,0.1
appliances,200,6,67.25667523206958,0.47091011047174036,,,45,xgboost,0.1
appliances,200,6,67.25667523206958,0.47091011047174036,,,46,xgboost,0.1
appliances,200,9,65.3022379328643,0.501213370356208,,,42,xgboost,0.1
appliances,200,9,65.3022379328643,0.501213370356208,,,43,xgboost,0.1
appliances,200,9,65.3022379328643,0.501213370356208,,,44,xgboost,0.1
appliances,200,9,65.3022379328643,0.501213370356208,,,45,xgboost,0.1
appliances,200,9,65.3022379328643,0.501213370356208,,,46,xgboost,0.1
appliances,500,3,73.14656717260499,0.3741841306505397,,,42,xgboost,0.1
appliances,500,3,73.14656717260499,0.3741841306505397,,,43,xgboost,0.1
appliances,500,3,73.14656717260499,0.3741841306505397,,,44,xgboost,0.1
appliances,500,3,73.14656717260499,0.3741841306505397,,,45,xgboost,0.1
appliances,500,3,73.14656717260499,0.3741841306505397,,,46,xgboost,0.1
appliances,500,6,63.94919719959631,0.5216686263317092,,,42,xgboost,0.1
appliances,500,6,63.94919719959631,0.5216686263317092,,,43,xgboost,0.1
appliances,500,6,63.94919719959631,0.5216686263317092,,,44,xgboost,0.1
appliances,500,6,63.94919719959631,0.5216686263317092,,,45,xgboost,0.1
appliances,500,6,63.94919719959631,0.5216686263317092,,,46,xgboost,0.1
appliances,500,9,64.51794400629575,0.513122492205299,,,42,xgboost,0.1
appliances,500,9,64.51794400629575,0.513122492205299,,,43,xgboost,0.1
appliances,500,9,64.51794400629575,0.513122492205299,,,44,xgboost,0.1
appliances,500,9,64.51794400629575,0.513122492205299,,,45,xgboost,0.1
appliances,500,9,64.51794400629575,0.513122492205299,,,46,xgboost,0.1
