dataset,kernel_name,alpha,val_rmse,val_r2,val_accuracy,num_params,model_type
student_dropout,RBF,1e-06,,,0.7545180722891566,,gp
student_dropout,Matern25,1e-06,,,0.7545180722891566,,gp
student_dropout,DotProduct,1e-06,,,0.75,,gp
student_dropout,RBF_plus_DotProduct,1e-06,,,0.75,,gp
student_dropout,RBF_ARD,1e-06,,,0.7454819277108434,,gp
student_dropout,Matern25_ARD,1e-06,,,0.7635542168674698,,gp
student_dropout,RBF_ARD_plus_DotProduct,1e-06,,,0.766566265060241,,gp
student_dropout,RBF_WhiteKernel,1e-06,,,0.7545180722891566,,gp
student_dropout,Matern25_WhiteKernel,1e-06,,,0.7545180722891566,,gp
student_dropout,DotProduct_WhiteKernel,1e-06,,,0.75,,gp
student_dropout,RBF_plus_DotProduct_WhiteKernel,1e-06,,,0.75,,gp
student_dropout,RBF_ARD_WhiteKernel,1e-06,,,0.7424698795180723,,gp
student_dropout,Matern25_ARD_WhiteKernel,1e-06,,,0.7530120481927711,,gp
student_dropout,RBF_ARD_plus_DotProduct_WhiteKernel,1e-06,,,0.7590361445783133,,gp
